,word,count
1539,hoje?,8
1540,amigas,8
1541,festas,8
1542,meme,8
1543,doida,8
1544,ficarmos,8
1545,thread,8
1546,leiam,8
1547,janelas,8
1548,in,8
1549,alegre,8
1550,brincar,8
1551,indiquem,8
1552,covid19,8
1553,otimo,8
1554,#coronavairus,8
1555,estabelecimentos,8
1556,tag,8
1557,toque,8
1558,confirmada,8
1559,nada!,8
1560,realizar,8
1561,#redebbb20,8
1562,educacao,8
1563,exercicio,8
1564,#coronaday,8
1565,@clarobrasil,8
1566,documentario,8
1567,#cuarentenacoronavirus,8
1568,breve,8
1569,excelente,8
1570,lotado,8
1571,estarei,8
1572,refletir,8
1573,olhar,8
1574,jeova,8
1575,fazer?,8
1576,roupas,8
1577,chegando,8
1578,#quarentena!,8
1579,receita,8
1580,amando,8
1581,sacrificio,8
1582,artista,8
1583,r..,8
1584,#homeoffice:,8
1585,batendo,8
1586,sejamos,8
1587,bacana,8
1588,????????????????,8
1589,resolver,8
1590,torcendo,8
1591,vacina,8
1592,teu,8
1593,chance,8
1594,walking,8
1595,alunos,8
1596,bola,8
1597,ficara,8
1598,coletiva,8
1599,usa,8
1600,bares,8
1601,lojas,8
1602,carnaval,8
1603,mandetta,8
1604,ferias!quarentena,8
1605,deixou,8
1606,so..,8
1607,resultado,8
1608,#ficaadica,8
1609,hoje!,8
1610,fechou,8
1611,tera,8
1612,eis,8
1613,aparecer,8
1614,votar,8
1615,aq,8
1616,conto,8
1617,cheguei,8
1618,pratica,8
1619,mudar,8
1620,@uolnoticias,8
1621,baixar,8
1622,milhares,8
1623,resto,8
1624,pao,8
1625,humanos,8
1626,isolado,8
1627,compartilhem,8
1628,pe..,8
1629,di..,8
1630,surtar,8
1631,ai!,8
1632,ensinar,8
1633,comunicacao,8
1634,b,8
1635,suporte,8
1636,carro,8
1637,tornar,8
1638,senhora,8
1639,rolando,8
1640,leva,8
1641,projeto,8
1642,ovo,8
1643,cenario,8
1644,acontece,8
1645,idiota,8
1646,chocolate,8
1647,papai,8
1648,assistam,8
1649,mora,8
1650,gado,8
1651,ouvi,8
1652,conhece,8
1653,condicoes,8
1654,free,8
1655,feriado,8
1656,politica,8
1657,#tercadetremurasdv,8
1658,calma,8
1659,hahahaha,8
1660,federal,8
1661,ingles,8
1662,tantas,8
1663,pano,8
1664,brincando,8
